,index,Fauna/Flora,Grupo,Família,Espécie (Simplificado),Nome Comum,Categoria de Ameaça,Sigla Categoria de Ameaça,Bioma,Principais Ameaças,Presença em Áreas Protegidas,Plano de Ação Nacional para Conservação (PAN),Ordenamento Pesqueiro ,Nível de Proteção na Estratégia Nacional,Espécie exclusiva do Brasil,Estados de Ocorrência_x,Estados de Ocorrência_y,lats_longs_animals
0,11,Fauna,Peixes Marinhos,Achiridae,Achirus mucuri,Solha,Vulnerável (VU),VU,Mata Atlântica,Extracao Direta:Caça/Pesca; Outras Atividades Econômicas:Energia; Poluição Assoreamento,Sim,Não,Não,1.0,Sim,BA,BA,[-38.65247247 -16.32229952]
1,63,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla brevipalma,Egla,Criticamente em Perigo (CR),CR,Mata Atlântica,Agropecuária; Poluição,Não,Sim,Não,1.0,Sim,SC,SC,[-47.48048528 -26.30592364]
2,64,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla camargoi,Egla,Em Perigo (EN),EN,Mata Atlântica,Agropecuária; Outras Atividades Econômicas:Energia,Não,Sim,Não,1.0,Sim,RS; SC,RS,[-50.43084496 -28.15108106]
3,64,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla camargoi,Egla,Em Perigo (EN),EN,Mata Atlântica,Agropecuária; Outras Atividades Econômicas:Energia,Não,Sim,Não,1.0,Sim,RS; SC,SC,[-46.87236052 -25.71924848]
4,65,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla cavernicola,Egla,Criticamente em Perigo (CR),CR,Mata Atlântica,Assentamento Humano:cidades; Poluição,Sim,Não,Não,2.0,Sim,SP,SP,[-43.23592057 -22.00963916]
5,66,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla franca,Egla,Criticamente em Perigo (CR),CR,Mata Atlântica,Agropecuária; Outras Atividades Econômicas:Industrias; Outras Atividades Econômicas:Transporte,Não,Sim,Não,1.0,Sim,MG; SP,MG,[-45.5466111  -15.75052808]
6,66,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla franca,Egla,Criticamente em Perigo (CR),CR,Mata Atlântica,Agropecuária; Outras Atividades Econômicas:Industrias; Outras Atividades Econômicas:Transporte,Não,Sim,Não,1.0,Sim,MG; SP,SP,[-45.85614603 -20.80324146]
7,67,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla grisella,Egla,Vulnerável (VU),VU,Mata Atlântica,Agropecuária; Outras Atividades Econômicas:Transporte; Poluição,Não,Sim,Não,1.0,Sim,RS,RS,[-51.01803491 -26.46768722]
8,68,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla inconspicua,Egla,Vulnerável (VU),VU,Mata Atlântica; Pampa,Agropecuária; Outras Atividades Econômicas:Energia,Sim,Sim,Não,1.0,Sim,RS,RS,[-48.70174078 -28.34609551]
9,69,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla inermis,Egla,Em Perigo (EN),EN,Mata Atlântica; Pampa,Agropecuária; Outras Atividades Econômicas:Transporte; Poluição,Sim,Sim,Não,2.0,Sim,RS,RS,[-50.002697   -29.29376183]
10,70,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla itacolomiensis,Egla,Em Perigo (EN),EN,Mata Atlântica; Pampa,Agropecuária; Poluição,Não,Sim,Não,1.0,Sim,RS,RS,[-51.51842285 -26.90563481]
11,71,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla lata,Egla,Criticamente em Perigo (CR),CR,Mata Atlântica,Agropecuária; Poluição; Queimadas,Não,Sim,Não,1.0,Sim,PR,PR,[-48.21729036 -22.83218854]
12,72,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla leachi,Egla,Em Perigo (EN),EN,Mata Atlântica,Agropecuária; Poluição,Não,Sim,Não,1.0,Sim,SC,SC,[-49.13931429 -25.97934693]
13,73,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla leptochela,Egla,Criticamente em Perigo (CR),CR,Mata Atlântica,Especies Exoticas; Mineracao; Outras Atividades Econômicas:Turismo,Não,Não,Não,1.0,Sim,SP,SP,[-46.01730341 -19.26716818]
14,74,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla leptodactyla,Egla,Vulnerável (VU),VU,Mata Atlântica,Agropecuária; Outras Atividades Econômicas:Energia,Sim,Sim,Não,1.0,Sim,RS; SC,RS,[-51.61559631 -30.97549469]
15,74,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla leptodactyla,Egla,Vulnerável (VU),VU,Mata Atlântica,Agropecuária; Outras Atividades Econômicas:Energia,Sim,Sim,Não,1.0,Sim,RS; SC,SC,[-46.94873917 -25.37611066]
16,75,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla ligulata,Egla,Vulnerável (VU),VU,Mata Atlântica,Agropecuária; Poluição,Sim,Sim,Não,2.0,Sim,RS,RS,[-51.70868176 -25.63955632]
17,76,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla manuinflata,Egla,Em Perigo (EN),EN,Mata Atlântica; Pampa,Agropecuária; Poluição,Não,Sim,Não,1.0,Sim,RS,RS,[-51.07718976 -30.4231453 ]
18,77,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla microphthalma,Egla,Criticamente em Perigo (CR),CR,Mata Atlântica,Especies Exoticas; Mineracao,Sim,Não,Não,2.0,Sim,SP,SP,[-48.99345155 -22.00388139]
19,78,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla oblata,Egla,Em Perigo (EN),EN,Mata Atlântica,Agropecuária; Outras Atividades Econômicas:Energia; Poluição,Não,Sim,Não,1.0,Sim,SC,SC,[-46.64731477 -24.1523613 ]
20,79,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla obstipa,Egla,Em Perigo (EN),EN,Pampa,Agropecuária; Poluição; Poluição Assoreamento,Não,Não,Não,0.0,Sim,RS,RS,[-51.80273741 -32.1290568 ]
21,80,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla perobae,Egla,Criticamente em Perigo (CR),CR,Mata Atlântica,Poluição,Sim,Sim,Não,2.0,Sim,SP,SP,[-44.01484042 -22.38710106]
22,81,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla plana,Egla,Em Perigo (EN),EN,Mata Atlântica; Pampa,Agropecuária; Outras Atividades Econômicas:Energia,Sim,Sim,Não,1.0,Sim,RS,RS,[-55.52027167 -30.25372085]
23,82,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla pomerana,Egla,Em Perigo (EN),EN,Mata Atlântica,Agropecuária; Outras Atividades Econômicas:Turismo,Não,Sim,Não,1.0,Sim,SC,SC,[-50.34829166 -25.50972022]
24,83,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla renana,Egla,Criticamente em Perigo (CR),CR,Pampa,Poluição,Sim,Sim,Não,1.0,Sim,RS,RS,[-51.30927151 -30.06328738]
25,84,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla rossiana,Egla,Em Perigo (EN),EN,Mata Atlântica; Pampa,Agropecuária; Assentamento Humano:cidades,Sim,Sim,Não,1.0,Sim,RS; SC,RS,[-50.26219058 -28.96110843]
26,84,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla rossiana,Egla,Em Perigo (EN),EN,Mata Atlântica; Pampa,Agropecuária; Assentamento Humano:cidades,Sim,Sim,Não,1.0,Sim,RS; SC,SC,[-51.23325171 -24.73780563]
27,85,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla spinipalma,Egla,Vulnerável (VU),VU,Mata Atlântica; Pampa,Agropecuária; Poluição,Não,Sim,Não,1.0,Sim,RS,RS,[-51.08098737 -26.7082087 ]
28,86,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla spinosa,Egla,Vulnerável (VU),VU,Mata Atlântica,Agropecuária; Outras Atividades Econômicas:Energia,Não,Sim,Não,1.0,Sim,RS; SC,RS,[-51.14625216 -26.1534445 ]
29,86,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla spinosa,Egla,Vulnerável (VU),VU,Mata Atlântica,Agropecuária; Outras Atividades Econômicas:Energia,Não,Sim,Não,1.0,Sim,RS; SC,SC,[-51.93331538 -26.22743877]
30,87,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla strinatii,Egla,Em Perigo (EN),EN,Mata Atlântica,Assentamento Humano:rurais,Sim,Sim,Não,1.0,Sim,PR; SP,PR,[-51.06460306 -25.00694124]
31,87,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla strinatii,Egla,Em Perigo (EN),EN,Mata Atlântica,Assentamento Humano:rurais,Sim,Sim,Não,1.0,Sim,PR; SP,SP,[-42.91777254 -21.47611555]
32,88,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla violacea,Egla,Em Perigo (EN),EN,Pampa,Agropecuária; Especies Exoticas; Poluição,Sim,Sim,Não,1.0,Sim,RS,RS,[-49.17619652 -26.81749235]
33,102,Fauna,Peixes Continentais,Pimelodidae,Aguarunichthys tocantinsensis,Bagre,Em Perigo (EN),EN,Amazônia; Cerrado,Outras Atividades Econômicas:Energia,Sim,Sim,Não,2.0,Sim,MT; PA; TO,MT,[-50.27339231 -11.21089378]
34,102,Fauna,Peixes Continentais,Pimelodidae,Aguarunichthys tocantinsensis,Bagre,Em Perigo (EN),EN,Amazônia; Cerrado,Outras Atividades Econômicas:Energia,Sim,Sim,Não,2.0,Sim,MT; PA; TO,PA,[-53.37682482   2.05475709]
35,102,Fauna,Peixes Continentais,Pimelodidae,Aguarunichthys tocantinsensis,Bagre,Em Perigo (EN),EN,Amazônia; Cerrado,Outras Atividades Econômicas:Energia,Sim,Sim,Não,2.0,Sim,MT; PA; TO,TO,[-49.93747196 -12.50993309]
36,136,Fauna,Peixes Marinhos,Alopiidae,Alopias superciliosus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,AL,[-34.1618245   -7.47490934]
37,136,Fauna,Peixes Marinhos,Alopiidae,Alopias superciliosus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,AP,[-49.39628027   3.47225143]
38,136,Fauna,Peixes Marinhos,Alopiidae,Alopias superciliosus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,BA,[-43.0466386  -14.60857976]
39,136,Fauna,Peixes Marinhos,Alopiidae,Alopias superciliosus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,CE,[-41.04996398  -2.17678022]
40,136,Fauna,Peixes Marinhos,Alopiidae,Alopias superciliosus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,ES,[-40.97852458 -18.13580568]
41,136,Fauna,Peixes Marinhos,Alopiidae,Alopias superciliosus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,MA,[-46.57729485  -2.990496  ]
42,136,Fauna,Peixes Marinhos,Alopiidae,Alopias superciliosus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,PA,[-56.23953184   2.4987624 ]
43,136,Fauna,Peixes Marinhos,Alopiidae,Alopias superciliosus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,PB,[-37.14595347  -5.70241033]
44,136,Fauna,Peixes Marinhos,Alopiidae,Alopias superciliosus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,PE,[-33.49165969  -6.6879893 ]
45,136,Fauna,Peixes Marinhos,Alopiidae,Alopias superciliosus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,PI,[-42.45951572  -3.73149987]
46,136,Fauna,Peixes Marinhos,Alopiidae,Alopias superciliosus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,PR,[-53.46626479 -24.76039217]
47,136,Fauna,Peixes Marinhos,Alopiidae,Alopias superciliosus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,RJ,[-43.05627128 -20.43464365]
48,136,Fauna,Peixes Marinhos,Alopiidae,Alopias superciliosus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,RN,[-35.67101004  -6.06136249]
49,136,Fauna,Peixes Marinhos,Alopiidae,Alopias superciliosus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,RS,[-49.62366504 -28.29768128]
50,136,Fauna,Peixes Marinhos,Alopiidae,Alopias superciliosus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,SC,[-47.00623072 -25.26244929]
51,136,Fauna,Peixes Marinhos,Alopiidae,Alopias superciliosus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,SE,[-36.07293685  -9.2771514 ]
52,136,Fauna,Peixes Marinhos,Alopiidae,Alopias superciliosus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,SP,[-47.4129812  -23.47770072]
53,137,Fauna,Peixes Marinhos,Alopiidae,Alopias vulpinus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,AL,[-33.52940486  -8.27483078]
54,137,Fauna,Peixes Marinhos,Alopiidae,Alopias vulpinus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,AP,[-53.2484296    4.01036447]
55,137,Fauna,Peixes Marinhos,Alopiidae,Alopias vulpinus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,BA,[-42.64721718  -7.98501778]
56,137,Fauna,Peixes Marinhos,Alopiidae,Alopias vulpinus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,CE,[-37.95581966  -4.88851915]
57,137,Fauna,Peixes Marinhos,Alopiidae,Alopias vulpinus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,ES,[-37.83294352 -17.35248486]
58,137,Fauna,Peixes Marinhos,Alopiidae,Alopias vulpinus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,MA,[-46.32149912  -7.37217941]
59,137,Fauna,Peixes Marinhos,Alopiidae,Alopias vulpinus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,PA,[-56.47504951   2.09042826]
60,137,Fauna,Peixes Marinhos,Alopiidae,Alopias vulpinus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,PB,[-37.4205626   -6.33508669]
61,137,Fauna,Peixes Marinhos,Alopiidae,Alopias vulpinus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,PE,[-35.70286507  -7.29092423]
62,137,Fauna,Peixes Marinhos,Alopiidae,Alopias vulpinus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,PI,[-42.69357378  -4.82668108]
63,137,Fauna,Peixes Marinhos,Alopiidae,Alopias vulpinus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,PR,[-48.28578669 -23.29832458]
64,137,Fauna,Peixes Marinhos,Alopiidae,Alopias vulpinus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,RJ,[-41.78366818 -22.33690031]
65,137,Fauna,Peixes Marinhos,Alopiidae,Alopias vulpinus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,RN,[-34.43683364  -4.42299863]
66,137,Fauna,Peixes Marinhos,Alopiidae,Alopias vulpinus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,RS,[-50.02948896 -27.47375363]
67,137,Fauna,Peixes Marinhos,Alopiidae,Alopias vulpinus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,SC,[-52.9668082  -25.73469798]
68,137,Fauna,Peixes Marinhos,Alopiidae,Alopias vulpinus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,SE,[-37.17328997  -8.78386035]
69,137,Fauna,Peixes Marinhos,Alopiidae,Alopias vulpinus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,SP,[-48.27408618 -23.40411599]
70,182,Fauna,Peixes Continentais,Rivulidae,Anablepsoides cearensis,Peixe-anual,Criticamente em Perigo (CR),CR,Caatinga,Agropecuária; Assentamento Humano:cidades,Não,Não,Não,1.0,Sim,CE,CE,[-39.98561988  -4.14675586]
71,188,Fauna,Peixes Continentais,Loricariidae,Ancistrus cryptophthalmus,Cascudinho-de-caverna,Em Perigo (EN),EN,Cerrado,Agropecuária; Outras Atividades Econômicas:Turismo,Sim,Não,Não,2.0,Sim,GO,GO,[-50.17430068 -18.41681408]
72,189,Fauna,Peixes Continentais,Loricariidae,Ancistrus formoso,Cascudo-cego,Vulnerável (VU),VU,Cerrado,Mineracao,Não,Não,Não,1.0,Sim,MS,MS,[-55.12141342 -22.42347545]
73,190,Fauna,Peixes Continentais,Loricariidae,Ancistrus minutus,Desconhecido,Em Perigo (EN),EN,Cerrado,Agropecuária; Assentamento Humano:cidades; Mineracao; Outras Atividades Econômicas:Energia,Não,Sim,Sim,1.0,Sim,GO,GO,[-49.66731838 -12.73400148]
74,222,Fauna,Peixes Continentais,Parodontidae,Apareiodon davisi,Peixe-rei,Em Perigo (EN),EN,Caatinga,Agropecuária,Não,Sim,Não,1.0,Sim,CE; PB,CE,[-37.61814327  -6.1076092 ]
75,222,Fauna,Peixes Continentais,Parodontidae,Apareiodon davisi,Peixe-rei,Em Perigo (EN),EN,Caatinga,Agropecuária,Não,Sim,Não,1.0,Sim,CE; PB,PB,[-34.07963017  -5.47408886]
76,223,Fauna,Peixes Continentais,Parodontidae,Apareiodon vladii,Canivete,Vulnerável (VU),VU,Mata Atlântica,Outras Atividades Econômicas:Energia,Não,Sim,Não,1.0,Sim,PR; SP,PR,[-48.21857385 -21.68951161]
77,223,Fauna,Peixes Continentais,Parodontidae,Apareiodon vladii,Canivete,Vulnerável (VU),VU,Mata Atlântica,Outras Atividades Econômicas:Energia,Não,Sim,Não,1.0,Sim,PR; SP,SP,[-44.50525861 -22.36989713]
78,227,Fauna,Peixes Continentais,Characidae,Aphyocheirodon hemigrammus,Lambari,Vulnerável (VU),VU,Cerrado; Mata Atlântica,Poluição,Sim,Sim,Não,2.0,Sim,MS; PR; SP,MS,[-56.47552028 -22.19334233]
79,227,Fauna,Peixes Continentais,Characidae,Aphyocheirodon hemigrammus,Lambari,Vulnerável (VU),VU,Cerrado; Mata Atlântica,Poluição,Sim,Sim,Não,2.0,Sim,MS; PR; SP,PR,[-46.83637132 -23.18502311]
80,227,Fauna,Peixes Continentais,Characidae,Aphyocheirodon hemigrammus,Lambari,Vulnerável (VU),VU,Cerrado; Mata Atlântica,Poluição,Sim,Sim,Não,2.0,Sim,MS; PR; SP,SP,[-45.25660165 -19.62944773]
81,234,Fauna,Peixes Continentais,Apteronotidae,Apteronotus acidops,Sarapó,Em Perigo (EN),EN,Mata Atlântica,Assentamento Humano:cidades; Outras Atividades Econômicas:Transporte; Poluição,Não,Sim,Não,1.0,Sim,MS; SP,MS,[-56.5235022  -16.84445022]
82,234,Fauna,Peixes Continentais,Apteronotidae,Apteronotus acidops,Sarapó,Em Perigo (EN),EN,Mata Atlântica,Assentamento Humano:cidades; Outras Atividades Econômicas:Transporte; Poluição,Não,Sim,Não,1.0,Sim,MS; SP,SP,[-43.52065316 -23.30020406]
83,235,Fauna,Peixes Continentais,Apteronotidae,Apteronotus lindalvae,Desconhecido,Criticamente em Perigo (CR),CR,Amazônia,Outras Atividades Econômicas:Energia,Sim,Sim,Não,2.0,Sim,AM,AM,[-61.38549961  -8.3955346 ]
84,289,Fauna,Invertebrados Aquáticos,Astropectinidae,Astropecten articulatus,Estrela-do-mar,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca; Outras Atividades Econômicas:Turismo; Poluição,Sim,Não,Não,2.0,Não,RJ; SP,RJ,[-42.39409039 -21.92541005]
85,289,Fauna,Invertebrados Aquáticos,Astropectinidae,Astropecten articulatus,Estrela-do-mar,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca; Outras Atividades Econômicas:Turismo; Poluição,Sim,Não,Não,2.0,Não,RJ; SP,SP,[-44.62872716 -22.16148804]
86,290,Fauna,Invertebrados Aquáticos,Astropectinidae,Astropecten brasiliensis,Estrela-do-mar,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca; Outras Atividades Econômicas:Turismo; Poluição,Sim,Não,Não,2.0,Não,BA; RJ; SP,BA,[-37.56672191 -16.54020009]
87,290,Fauna,Invertebrados Aquáticos,Astropectinidae,Astropecten brasiliensis,Estrela-do-mar,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca; Outras Atividades Econômicas:Turismo; Poluição,Sim,Não,Não,2.0,Não,BA; RJ; SP,RJ,[-43.06661291 -22.52303743]
88,290,Fauna,Invertebrados Aquáticos,Astropectinidae,Astropecten brasiliensis,Estrela-do-mar,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca; Outras Atividades Econômicas:Turismo; Poluição,Sim,Não,Não,2.0,Não,BA; RJ; SP,SP,[-44.44504771 -21.67281644]
89,291,Fauna,Invertebrados Aquáticos,Astropectinidae,Astropecten marginatus,Estrela-do-mar,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca; Outras Atividades Econômicas:Turismo; Poluição,Sim,Não,Não,2.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,AL,[-36.41296384  -8.25144293]
90,291,Fauna,Invertebrados Aquáticos,Astropectinidae,Astropecten marginatus,Estrela-do-mar,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca; Outras Atividades Econômicas:Turismo; Poluição,Sim,Não,Não,2.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,AP,[-51.89394041   4.07591651]
91,291,Fauna,Invertebrados Aquáticos,Astropectinidae,Astropecten marginatus,Estrela-do-mar,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca; Outras Atividades Econômicas:Turismo; Poluição,Sim,Não,Não,2.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,BA,[-42.21405864 -14.37524235]
