,index,Fauna/Flora,Grupo,Família,Espécie (Simplificado),Nome Comum,Categoria de Ameaça,Sigla Categoria de Ameaça,Bioma,Principais Ameaças,Presença em Áreas Protegidas,Plano de Ação Nacional para Conservação (PAN),Ordenamento Pesqueiro ,Nível de Proteção na Estratégia Nacional,Espécie exclusiva do Brasil,Estados de Ocorrência_x,Estados de Ocorrência_y,lats_longs_animals
557,1394,Fauna,Peixes Marinhos,Syngnathidae,Hippocampus reidi,Cavalo-marinho,Vulnerável (VU),VU,Marinho,Agropecuária Aquacultura; Assentamento Humano:cidades; Extracao Direta:Caça/Pesca; Poluição,Sim,Sim,Sim,2.0,Não,AL; BA; CE; ES; MA;  PB; PE; PI; PR; RJ; RN; SC; SE; SP,RN,[-35.13368799  -5.4589179 ]
558,1394,Fauna,Peixes Marinhos,Syngnathidae,Hippocampus reidi,Cavalo-marinho,Vulnerável (VU),VU,Marinho,Agropecuária Aquacultura; Assentamento Humano:cidades; Extracao Direta:Caça/Pesca; Poluição,Sim,Sim,Sim,2.0,Não,AL; BA; CE; ES; MA;  PB; PE; PI; PR; RJ; RN; SC; SE; SP,SC,[-49.34344379 -27.23268507]
559,1394,Fauna,Peixes Marinhos,Syngnathidae,Hippocampus reidi,Cavalo-marinho,Vulnerável (VU),VU,Marinho,Agropecuária Aquacultura; Assentamento Humano:cidades; Extracao Direta:Caça/Pesca; Poluição,Sim,Sim,Sim,2.0,Não,AL; BA; CE; ES; MA;  PB; PE; PI; PR; RJ; RN; SC; SE; SP,SE,[-36.83684685 -10.48063906]
560,1394,Fauna,Peixes Marinhos,Syngnathidae,Hippocampus reidi,Cavalo-marinho,Vulnerável (VU),VU,Marinho,Agropecuária Aquacultura; Assentamento Humano:cidades; Extracao Direta:Caça/Pesca; Poluição,Sim,Sim,Sim,2.0,Não,AL; BA; CE; ES; MA;  PB; PE; PI; PR; RJ; RN; SC; SE; SP,SP,[-44.85016848 -20.5112844 ]
561,1415,Fauna,Peixes Continentais,Characidae,Hollandichthys taramandahy,Lambari-listrado,Em Perigo (EN),EN,Mata Atlântica; Pampa,Mineracao,Sim,Sim,Sim,2.0,Sim,RS; SC,RS,[-54.93874806 -28.26391376]
562,1415,Fauna,Peixes Continentais,Characidae,Hollandichthys taramandahy,Lambari-listrado,Em Perigo (EN),EN,Mata Atlântica; Pampa,Mineracao,Sim,Sim,Sim,2.0,Sim,RS; SC,SC,[-50.51945474 -27.13348706]
563,1422,Fauna,Peixes Continentais,Loricariidae,Hopliancistrus tricornis,Bodó-seda,Em Perigo (EN),EN,Amazônia,Extracao Direta:Caça/Pesca; Outras Atividades Econômicas:Energia,Sim,Sim,Sim,2.0,Sim,PA,PA,[-56.3200724   -0.16707648]
564,1444,Fauna,Peixes Continentais,Loricariidae,Hypancistrus zebra,Cascudo-zebra-imperial,Criticamente em Perigo (CR),CR,Amazônia,Extracao Direta:Caça/Pesca; Outras Atividades Econômicas:Energia,Não,Sim,Sim,2.0,Sim,PA,PA,[-50.98303739   0.3201073 ]
565,1450,Fauna,Peixes Continentais,Characidae,Hyphessobrycon coelestinus,Desconhecido,Em Perigo (EN),EN,Cerrado,Assentamento Humano:cidades,Sim,Sim,Sim,2.0,Sim,DF; GO,DF,[-48.17292415 -14.10243641]
566,1450,Fauna,Peixes Continentais,Characidae,Hyphessobrycon coelestinus,Desconhecido,Em Perigo (EN),EN,Cerrado,Assentamento Humano:cidades,Sim,Sim,Sim,2.0,Sim,DF; GO,GO,[-50.29061393 -13.832017  ]
567,1451,Fauna,Peixes Continentais,Characidae,Hyphessobrycon duragenys,Lambari,Em Perigo (EN),EN,Mata Atlântica,Assentamento Humano:cidades; Poluição,Não,Sim,Não,1.0,Sim,SP,SP,[-43.41043975 -22.18327968]
568,1452,Fauna,Peixes Continentais,Characidae,Hyphessobrycon flammeus,Tetra-vermelho,Em Perigo (EN),EN,Mata Atlântica,Assentamento Humano:cidades; Poluição,Sim,Sim,Não,2.0,Sim,RJ; SP,RJ,[-43.73915558 -22.28655915]
