,index,Fauna/Flora,Grupo,Família,Espécie (Simplificado),Nome Comum,Categoria de Ameaça,Sigla Categoria de Ameaça,Bioma,Principais Ameaças,Presença em Áreas Protegidas,Plano de Ação Nacional para Conservação (PAN),Ordenamento Pesqueiro ,Nível de Proteção na Estratégia Nacional,Espécie exclusiva do Brasil,Estados de Ocorrência_x,Estados de Ocorrência_y
387,933,Fauna,Peixes Continentais,Characidae,Diapoma pyrrhopteryx,Lambari,Em Perigo (EN),EN,Mata Atlântica,Outras Atividades Econômicas:Energia,Não,Sim,Não,1.0,Sim,RS; SC,RS
388,933,Fauna,Peixes Continentais,Characidae,Diapoma pyrrhopteryx,Lambari,Em Perigo (EN),EN,Mata Atlântica,Outras Atividades Econômicas:Energia,Não,Sim,Não,1.0,Sim,RS; SC,SC
389,956,Fauna,Invertebrados Aquáticos,Onuphidae,Diopatra cuprea,Desconhecido,Vulnerável (VU),VU,Marinho,Assentamento Humano:cidades; Extracao Direta:Caça/Pesca; Mineracao; Outras Atividades Econômicas:Transporte; Poluição,Sim,Não,Não,2.0,Não,AL; BA; ES; PB; PE; PR; RJ; RS; SC; SE; SP,AL
390,956,Fauna,Invertebrados Aquáticos,Onuphidae,Diopatra cuprea,Desconhecido,Vulnerável (VU),VU,Marinho,Assentamento Humano:cidades; Extracao Direta:Caça/Pesca; Mineracao; Outras Atividades Econômicas:Transporte; Poluição,Sim,Não,Não,2.0,Não,AL; BA; ES; PB; PE; PR; RJ; RS; SC; SE; SP,BA
391,956,Fauna,Invertebrados Aquáticos,Onuphidae,Diopatra cuprea,Desconhecido,Vulnerável (VU),VU,Marinho,Assentamento Humano:cidades; Extracao Direta:Caça/Pesca; Mineracao; Outras Atividades Econômicas:Transporte; Poluição,Sim,Não,Não,2.0,Não,AL; BA; ES; PB; PE; PR; RJ; RS; SC; SE; SP,ES
392,956,Fauna,Invertebrados Aquáticos,Onuphidae,Diopatra cuprea,Desconhecido,Vulnerável (VU),VU,Marinho,Assentamento Humano:cidades; Extracao Direta:Caça/Pesca; Mineracao; Outras Atividades Econômicas:Transporte; Poluição,Sim,Não,Não,2.0,Não,AL; BA; ES; PB; PE; PR; RJ; RS; SC; SE; SP,PB
393,956,Fauna,Invertebrados Aquáticos,Onuphidae,Diopatra cuprea,Desconhecido,Vulnerável (VU),VU,Marinho,Assentamento Humano:cidades; Extracao Direta:Caça/Pesca; Mineracao; Outras Atividades Econômicas:Transporte; Poluição,Sim,Não,Não,2.0,Não,AL; BA; ES; PB; PE; PR; RJ; RS; SC; SE; SP,PE
394,956,Fauna,Invertebrados Aquáticos,Onuphidae,Diopatra cuprea,Desconhecido,Vulnerável (VU),VU,Marinho,Assentamento Humano:cidades; Extracao Direta:Caça/Pesca; Mineracao; Outras Atividades Econômicas:Transporte; Poluição,Sim,Não,Não,2.0,Não,AL; BA; ES; PB; PE; PR; RJ; RS; SC; SE; SP,PR
395,956,Fauna,Invertebrados Aquáticos,Onuphidae,Diopatra cuprea,Desconhecido,Vulnerável (VU),VU,Marinho,Assentamento Humano:cidades; Extracao Direta:Caça/Pesca; Mineracao; Outras Atividades Econômicas:Transporte; Poluição,Sim,Não,Não,2.0,Não,AL; BA; ES; PB; PE; PR; RJ; RS; SC; SE; SP,RJ
396,956,Fauna,Invertebrados Aquáticos,Onuphidae,Diopatra cuprea,Desconhecido,Vulnerável (VU),VU,Marinho,Assentamento Humano:cidades; Extracao Direta:Caça/Pesca; Mineracao; Outras Atividades Econômicas:Transporte; Poluição,Sim,Não,Não,2.0,Não,AL; BA; ES; PB; PE; PR; RJ; RS; SC; SE; SP,RS
397,956,Fauna,Invertebrados Aquáticos,Onuphidae,Diopatra cuprea,Desconhecido,Vulnerável (VU),VU,Marinho,Assentamento Humano:cidades; Extracao Direta:Caça/Pesca; Mineracao; Outras Atividades Econômicas:Transporte; Poluição,Sim,Não,Não,2.0,Não,AL; BA; ES; PB; PE; PR; RJ; RS; SC; SE; SP,SC
398,956,Fauna,Invertebrados Aquáticos,Onuphidae,Diopatra cuprea,Desconhecido,Vulnerável (VU),VU,Marinho,Assentamento Humano:cidades; Extracao Direta:Caça/Pesca; Mineracao; Outras Atividades Econômicas:Transporte; Poluição,Sim,Não,Não,2.0,Não,AL; BA; ES; PB; PE; PR; RJ; RS; SC; SE; SP,SE
399,956,Fauna,Invertebrados Aquáticos,Onuphidae,Diopatra cuprea,Desconhecido,Vulnerável (VU),VU,Marinho,Assentamento Humano:cidades; Extracao Direta:Caça/Pesca; Mineracao; Outras Atividades Econômicas:Transporte; Poluição,Sim,Não,Não,2.0,Não,AL; BA; ES; PB; PE; PR; RJ; RS; SC; SE; SP,SP
400,965,Fauna,Invertebrados Aquáticos,Hyriidae,Diplodon (Rhipidodonta) koseritzi,Marisco-do-junco,Em Perigo (EN),EN,Mata Atlântica; Pampa,Especies Exoticas; Outras Atividades Econômicas: Barrages Abastecimento/Drenagem; Poluição,Sim,Não,Não,2.0,Sim,RS,RS
401,1054,Fauna,Peixes Continentais,Sternopygidae,Eigenmannia vicentespelaea,Ituí,Vulnerável (VU),VU,Cerrado,Agropecuária; Queimadas,Sim,Sim,Não,2.0,Sim,GO,GO
402,1056,Fauna,Peixes Marinhos,Gobiidae,Elacatinus figaro,Neon,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca; Extracao Direta:Remocao De Corais; Outras Atividades Econômicas:Turismo; Poluição,Sim,Sim,Sim,2.0,Sim,AL; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,AL
403,1056,Fauna,Peixes Marinhos,Gobiidae,Elacatinus figaro,Neon,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca; Extracao Direta:Remocao De Corais; Outras Atividades Econômicas:Turismo; Poluição,Sim,Sim,Sim,2.0,Sim,AL; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,BA
404,1056,Fauna,Peixes Marinhos,Gobiidae,Elacatinus figaro,Neon,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca; Extracao Direta:Remocao De Corais; Outras Atividades Econômicas:Turismo; Poluição,Sim,Sim,Sim,2.0,Sim,AL; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,CE
405,1056,Fauna,Peixes Marinhos,Gobiidae,Elacatinus figaro,Neon,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca; Extracao Direta:Remocao De Corais; Outras Atividades Econômicas:Turismo; Poluição,Sim,Sim,Sim,2.0,Sim,AL; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,ES
406,1056,Fauna,Peixes Marinhos,Gobiidae,Elacatinus figaro,Neon,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca; Extracao Direta:Remocao De Corais; Outras Atividades Econômicas:Turismo; Poluição,Sim,Sim,Sim,2.0,Sim,AL; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,MA
407,1056,Fauna,Peixes Marinhos,Gobiidae,Elacatinus figaro,Neon,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca; Extracao Direta:Remocao De Corais; Outras Atividades Econômicas:Turismo; Poluição,Sim,Sim,Sim,2.0,Sim,AL; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,PA
408,1056,Fauna,Peixes Marinhos,Gobiidae,Elacatinus figaro,Neon,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca; Extracao Direta:Remocao De Corais; Outras Atividades Econômicas:Turismo; Poluição,Sim,Sim,Sim,2.0,Sim,AL; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,PB
409,1056,Fauna,Peixes Marinhos,Gobiidae,Elacatinus figaro,Neon,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca; Extracao Direta:Remocao De Corais; Outras Atividades Econômicas:Turismo; Poluição,Sim,Sim,Sim,2.0,Sim,AL; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,PE
410,1056,Fauna,Peixes Marinhos,Gobiidae,Elacatinus figaro,Neon,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca; Extracao Direta:Remocao De Corais; Outras Atividades Econômicas:Turismo; Poluição,Sim,Sim,Sim,2.0,Sim,AL; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,PI
411,1056,Fauna,Peixes Marinhos,Gobiidae,Elacatinus figaro,Neon,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca; Extracao Direta:Remocao De Corais; Outras Atividades Econômicas:Turismo; Poluição,Sim,Sim,Sim,2.0,Sim,AL; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,PR
412,1056,Fauna,Peixes Marinhos,Gobiidae,Elacatinus figaro,Neon,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca; Extracao Direta:Remocao De Corais; Outras Atividades Econômicas:Turismo; Poluição,Sim,Sim,Sim,2.0,Sim,AL; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,RJ
413,1056,Fauna,Peixes Marinhos,Gobiidae,Elacatinus figaro,Neon,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca; Extracao Direta:Remocao De Corais; Outras Atividades Econômicas:Turismo; Poluição,Sim,Sim,Sim,2.0,Sim,AL; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,RN
414,1056,Fauna,Peixes Marinhos,Gobiidae,Elacatinus figaro,Neon,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca; Extracao Direta:Remocao De Corais; Outras Atividades Econômicas:Turismo; Poluição,Sim,Sim,Sim,2.0,Sim,AL; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,SC
415,1056,Fauna,Peixes Marinhos,Gobiidae,Elacatinus figaro,Neon,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca; Extracao Direta:Remocao De Corais; Outras Atividades Econômicas:Turismo; Poluição,Sim,Sim,Sim,2.0,Sim,AL; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,SE
416,1056,Fauna,Peixes Marinhos,Gobiidae,Elacatinus figaro,Neon,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca; Extracao Direta:Remocao De Corais; Outras Atividades Econômicas:Turismo; Poluição,Sim,Sim,Sim,2.0,Sim,AL; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,SP
417,1075,Fauna,Peixes Marinhos,Tripterygiidae,Enneanectes smithi,Desconhecido,Vulnerável (VU),VU,Marinho,Mudanca Na Dinamica Das Especies Nativas; Poluição,Sim,Não,Sim,2.0,Não,PE,PE
418,1083,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus itajara,Mero,Criticamente em Perigo (CR),CR,Marinho,Agropecuária Aquacultura; Assentamento Humano:cidades; Extracao Direta:Caça/Pesca,Sim,Sim,Sim,2.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; RJ; RN; SE; SP,AL
419,1083,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus itajara,Mero,Criticamente em Perigo (CR),CR,Marinho,Agropecuária Aquacultura; Assentamento Humano:cidades; Extracao Direta:Caça/Pesca,Sim,Sim,Sim,2.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; RJ; RN; SE; SP,AP
420,1083,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus itajara,Mero,Criticamente em Perigo (CR),CR,Marinho,Agropecuária Aquacultura; Assentamento Humano:cidades; Extracao Direta:Caça/Pesca,Sim,Sim,Sim,2.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; RJ; RN; SE; SP,BA
421,1083,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus itajara,Mero,Criticamente em Perigo (CR),CR,Marinho,Agropecuária Aquacultura; Assentamento Humano:cidades; Extracao Direta:Caça/Pesca,Sim,Sim,Sim,2.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; RJ; RN; SE; SP,CE
422,1083,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus itajara,Mero,Criticamente em Perigo (CR),CR,Marinho,Agropecuária Aquacultura; Assentamento Humano:cidades; Extracao Direta:Caça/Pesca,Sim,Sim,Sim,2.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; RJ; RN; SE; SP,ES
423,1083,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus itajara,Mero,Criticamente em Perigo (CR),CR,Marinho,Agropecuária Aquacultura; Assentamento Humano:cidades; Extracao Direta:Caça/Pesca,Sim,Sim,Sim,2.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; RJ; RN; SE; SP,MA
424,1083,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus itajara,Mero,Criticamente em Perigo (CR),CR,Marinho,Agropecuária Aquacultura; Assentamento Humano:cidades; Extracao Direta:Caça/Pesca,Sim,Sim,Sim,2.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; RJ; RN; SE; SP,PA
425,1083,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus itajara,Mero,Criticamente em Perigo (CR),CR,Marinho,Agropecuária Aquacultura; Assentamento Humano:cidades; Extracao Direta:Caça/Pesca,Sim,Sim,Sim,2.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; RJ; RN; SE; SP,PB
426,1083,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus itajara,Mero,Criticamente em Perigo (CR),CR,Marinho,Agropecuária Aquacultura; Assentamento Humano:cidades; Extracao Direta:Caça/Pesca,Sim,Sim,Sim,2.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; RJ; RN; SE; SP,PE
427,1083,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus itajara,Mero,Criticamente em Perigo (CR),CR,Marinho,Agropecuária Aquacultura; Assentamento Humano:cidades; Extracao Direta:Caça/Pesca,Sim,Sim,Sim,2.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; RJ; RN; SE; SP,PI
428,1083,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus itajara,Mero,Criticamente em Perigo (CR),CR,Marinho,Agropecuária Aquacultura; Assentamento Humano:cidades; Extracao Direta:Caça/Pesca,Sim,Sim,Sim,2.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; RJ; RN; SE; SP,RJ
429,1083,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus itajara,Mero,Criticamente em Perigo (CR),CR,Marinho,Agropecuária Aquacultura; Assentamento Humano:cidades; Extracao Direta:Caça/Pesca,Sim,Sim,Sim,2.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; RJ; RN; SE; SP,RN
430,1083,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus itajara,Mero,Criticamente em Perigo (CR),CR,Marinho,Agropecuária Aquacultura; Assentamento Humano:cidades; Extracao Direta:Caça/Pesca,Sim,Sim,Sim,2.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; RJ; RN; SE; SP,SE
431,1083,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus itajara,Mero,Criticamente em Perigo (CR),CR,Marinho,Agropecuária Aquacultura; Assentamento Humano:cidades; Extracao Direta:Caça/Pesca,Sim,Sim,Sim,2.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; RJ; RN; SE; SP,SP
432,1084,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus marginatus,Garoupa-verdadeira,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,ES; RJ; SP; PR; SC; RS,ES
433,1084,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus marginatus,Garoupa-verdadeira,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,ES; RJ; SP; PR; SC; RS,RJ
434,1084,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus marginatus,Garoupa-verdadeira,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,ES; RJ; SP; PR; SC; RS,SP
435,1084,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus marginatus,Garoupa-verdadeira,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,ES; RJ; SP; PR; SC; RS,PR
436,1084,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus marginatus,Garoupa-verdadeira,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,ES; RJ; SP; PR; SC; RS,SC
437,1084,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus marginatus,Garoupa-verdadeira,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,ES; RJ; SP; PR; SC; RS,RS
438,1085,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus morio,Garoupa ,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,AL; AP; BA; CE; ES; MA;  PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,AL
439,1085,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus morio,Garoupa ,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,AL; AP; BA; CE; ES; MA;  PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,AP
440,1085,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus morio,Garoupa ,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,AL; AP; BA; CE; ES; MA;  PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,BA
441,1085,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus morio,Garoupa ,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,AL; AP; BA; CE; ES; MA;  PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,CE
442,1085,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus morio,Garoupa ,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,AL; AP; BA; CE; ES; MA;  PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,ES
443,1085,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus morio,Garoupa ,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,AL; AP; BA; CE; ES; MA;  PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,MA
444,1085,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus morio,Garoupa ,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,AL; AP; BA; CE; ES; MA;  PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,PA
445,1085,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus morio,Garoupa ,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,AL; AP; BA; CE; ES; MA;  PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,PB
446,1085,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus morio,Garoupa ,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,AL; AP; BA; CE; ES; MA;  PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,PE
447,1085,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus morio,Garoupa ,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,AL; AP; BA; CE; ES; MA;  PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,PI
448,1085,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus morio,Garoupa ,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,AL; AP; BA; CE; ES; MA;  PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,PR
449,1085,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus morio,Garoupa ,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,AL; AP; BA; CE; ES; MA;  PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,RJ
450,1085,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus morio,Garoupa ,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,AL; AP; BA; CE; ES; MA;  PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,RN
451,1085,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus morio,Garoupa ,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,AL; AP; BA; CE; ES; MA;  PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,SC
452,1085,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus morio,Garoupa ,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,AL; AP; BA; CE; ES; MA;  PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,SE
453,1085,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus morio,Garoupa ,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,AL; AP; BA; CE; ES; MA;  PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,SP
454,1169,Fauna,Invertebrados Aquáticos,Eunicidae,Eunice sebastiani,Desconhecido,Em Perigo (EN),EN,Marinho,Assentamento Humano:cidades; Desastres Naturais; Extracao Direta:Caça/Pesca; Mineracao; Poluição,Sim,Não,Não,2.0,Sim,SP,SP
455,1183,Fauna,Invertebrados Aquáticos,Strombidae,Eustrombus goliath,Búzio-de-chapéu,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,2.0,Sim,AL; BA; CE; ES; PB; PE; RN; SE,AL
456,1183,Fauna,Invertebrados Aquáticos,Strombidae,Eustrombus goliath,Búzio-de-chapéu,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,2.0,Sim,AL; BA; CE; ES; PB; PE; RN; SE,BA
457,1183,Fauna,Invertebrados Aquáticos,Strombidae,Eustrombus goliath,Búzio-de-chapéu,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,2.0,Sim,AL; BA; CE; ES; PB; PE; RN; SE,CE
458,1183,Fauna,Invertebrados Aquáticos,Strombidae,Eustrombus goliath,Búzio-de-chapéu,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,2.0,Sim,AL; BA; CE; ES; PB; PE; RN; SE,ES
459,1183,Fauna,Invertebrados Aquáticos,Strombidae,Eustrombus goliath,Búzio-de-chapéu,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,2.0,Sim,AL; BA; CE; ES; PB; PE; RN; SE,PB
460,1183,Fauna,Invertebrados Aquáticos,Strombidae,Eustrombus goliath,Búzio-de-chapéu,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,2.0,Sim,AL; BA; CE; ES; PB; PE; RN; SE,PE
461,1183,Fauna,Invertebrados Aquáticos,Strombidae,Eustrombus goliath,Búzio-de-chapéu,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,2.0,Sim,AL; BA; CE; ES; PB; PE; RN; SE,RN
462,1183,Fauna,Invertebrados Aquáticos,Strombidae,Eustrombus goliath,Búzio-de-chapéu,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,2.0,Sim,AL; BA; CE; ES; PB; PE; RN; SE,SE
463,1185,Fauna,Invertebrados Aquáticos,Pectinidae,Euvola ziczac,Vieira,Em Perigo (EN),EN,Marinho,Extracao Direta:Caça/Pesca,Sim,Não,Não,2.0,Não,AP; AL; BA; CE; ES; MA; PA; PB; PE; PI; RJ; RN; SC; SP,AP
464,1185,Fauna,Invertebrados Aquáticos,Pectinidae,Euvola ziczac,Vieira,Em Perigo (EN),EN,Marinho,Extracao Direta:Caça/Pesca,Sim,Não,Não,2.0,Não,AP; AL; BA; CE; ES; MA; PA; PB; PE; PI; RJ; RN; SC; SP,AL
465,1185,Fauna,Invertebrados Aquáticos,Pectinidae,Euvola ziczac,Vieira,Em Perigo (EN),EN,Marinho,Extracao Direta:Caça/Pesca,Sim,Não,Não,2.0,Não,AP; AL; BA; CE; ES; MA; PA; PB; PE; PI; RJ; RN; SC; SP,BA
466,1185,Fauna,Invertebrados Aquáticos,Pectinidae,Euvola ziczac,Vieira,Em Perigo (EN),EN,Marinho,Extracao Direta:Caça/Pesca,Sim,Não,Não,2.0,Não,AP; AL; BA; CE; ES; MA; PA; PB; PE; PI; RJ; RN; SC; SP,CE
467,1185,Fauna,Invertebrados Aquáticos,Pectinidae,Euvola ziczac,Vieira,Em Perigo (EN),EN,Marinho,Extracao Direta:Caça/Pesca,Sim,Não,Não,2.0,Não,AP; AL; BA; CE; ES; MA; PA; PB; PE; PI; RJ; RN; SC; SP,ES
468,1185,Fauna,Invertebrados Aquáticos,Pectinidae,Euvola ziczac,Vieira,Em Perigo (EN),EN,Marinho,Extracao Direta:Caça/Pesca,Sim,Não,Não,2.0,Não,AP; AL; BA; CE; ES; MA; PA; PB; PE; PI; RJ; RN; SC; SP,MA
469,1185,Fauna,Invertebrados Aquáticos,Pectinidae,Euvola ziczac,Vieira,Em Perigo (EN),EN,Marinho,Extracao Direta:Caça/Pesca,Sim,Não,Não,2.0,Não,AP; AL; BA; CE; ES; MA; PA; PB; PE; PI; RJ; RN; SC; SP,PA
470,1185,Fauna,Invertebrados Aquáticos,Pectinidae,Euvola ziczac,Vieira,Em Perigo (EN),EN,Marinho,Extracao Direta:Caça/Pesca,Sim,Não,Não,2.0,Não,AP; AL; BA; CE; ES; MA; PA; PB; PE; PI; RJ; RN; SC; SP,PB
471,1185,Fauna,Invertebrados Aquáticos,Pectinidae,Euvola ziczac,Vieira,Em Perigo (EN),EN,Marinho,Extracao Direta:Caça/Pesca,Sim,Não,Não,2.0,Não,AP; AL; BA; CE; ES; MA; PA; PB; PE; PI; RJ; RN; SC; SP,PE
472,1185,Fauna,Invertebrados Aquáticos,Pectinidae,Euvola ziczac,Vieira,Em Perigo (EN),EN,Marinho,Extracao Direta:Caça/Pesca,Sim,Não,Não,2.0,Não,AP; AL; BA; CE; ES; MA; PA; PB; PE; PI; RJ; RN; SC; SP,PI
473,1185,Fauna,Invertebrados Aquáticos,Pectinidae,Euvola ziczac,Vieira,Em Perigo (EN),EN,Marinho,Extracao Direta:Caça/Pesca,Sim,Não,Não,2.0,Não,AP; AL; BA; CE; ES; MA; PA; PB; PE; PI; RJ; RN; SC; SP,RJ
