,index,Fauna/Flora,Grupo,Família,Espécie (Simplificado),Nome Comum,Categoria de Ameaça,Sigla Categoria de Ameaça,Bioma,Principais Ameaças,Presença em Áreas Protegidas,Plano de Ação Nacional para Conservação (PAN),Ordenamento Pesqueiro ,Nível de Proteção na Estratégia Nacional,Espécie exclusiva do Brasil,Estados de Ocorrência_x,Estados de Ocorrência_y
189,611,Fauna,Peixes Marinhos,Carcharhinidae,Carcharhinus longimanus,Tubarão-galha-branca,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,AL
190,611,Fauna,Peixes Marinhos,Carcharhinidae,Carcharhinus longimanus,Tubarão-galha-branca,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,AP
191,611,Fauna,Peixes Marinhos,Carcharhinidae,Carcharhinus longimanus,Tubarão-galha-branca,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,BA
192,611,Fauna,Peixes Marinhos,Carcharhinidae,Carcharhinus longimanus,Tubarão-galha-branca,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,CE
193,611,Fauna,Peixes Marinhos,Carcharhinidae,Carcharhinus longimanus,Tubarão-galha-branca,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,ES
194,611,Fauna,Peixes Marinhos,Carcharhinidae,Carcharhinus longimanus,Tubarão-galha-branca,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,MA
195,611,Fauna,Peixes Marinhos,Carcharhinidae,Carcharhinus longimanus,Tubarão-galha-branca,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,PA
196,611,Fauna,Peixes Marinhos,Carcharhinidae,Carcharhinus longimanus,Tubarão-galha-branca,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,PB
197,611,Fauna,Peixes Marinhos,Carcharhinidae,Carcharhinus longimanus,Tubarão-galha-branca,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,PE
198,611,Fauna,Peixes Marinhos,Carcharhinidae,Carcharhinus longimanus,Tubarão-galha-branca,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,PI
199,611,Fauna,Peixes Marinhos,Carcharhinidae,Carcharhinus longimanus,Tubarão-galha-branca,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,PR
200,611,Fauna,Peixes Marinhos,Carcharhinidae,Carcharhinus longimanus,Tubarão-galha-branca,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,RJ
201,611,Fauna,Peixes Marinhos,Carcharhinidae,Carcharhinus longimanus,Tubarão-galha-branca,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,RN
202,611,Fauna,Peixes Marinhos,Carcharhinidae,Carcharhinus longimanus,Tubarão-galha-branca,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,RS
203,611,Fauna,Peixes Marinhos,Carcharhinidae,Carcharhinus longimanus,Tubarão-galha-branca,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,SC
204,611,Fauna,Peixes Marinhos,Carcharhinidae,Carcharhinus longimanus,Tubarão-galha-branca,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,SE
205,611,Fauna,Peixes Marinhos,Carcharhinidae,Carcharhinus longimanus,Tubarão-galha-branca,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,SP
206,612,Fauna,Peixes Marinhos,Carcharhinidae,Carcharhinus obscurus,Cação-fidalgo,Em Perigo (EN),EN,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,2.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,AL
207,612,Fauna,Peixes Marinhos,Carcharhinidae,Carcharhinus obscurus,Cação-fidalgo,Em Perigo (EN),EN,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,2.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,AP
208,612,Fauna,Peixes Marinhos,Carcharhinidae,Carcharhinus obscurus,Cação-fidalgo,Em Perigo (EN),EN,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,2.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,BA
209,612,Fauna,Peixes Marinhos,Carcharhinidae,Carcharhinus obscurus,Cação-fidalgo,Em Perigo (EN),EN,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,2.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,CE
210,612,Fauna,Peixes Marinhos,Carcharhinidae,Carcharhinus obscurus,Cação-fidalgo,Em Perigo (EN),EN,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,2.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,ES
211,612,Fauna,Peixes Marinhos,Carcharhinidae,Carcharhinus obscurus,Cação-fidalgo,Em Perigo (EN),EN,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,2.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,MA
